label	text
spam	HEALTH ALERT: New study reveals miracle cure. Doctors hate this one trick!
ham	Traffic was terrible this morning
spam	VERIFY YOUR ACCOUNT: Suspicious login attempt. Click here to secure: http://phishing-site.com
ham	Book club meeting next Thursday
spam	CASH PRIZE! You've been randomly selected to receive $5,000. Claim now!
ham	The garden is blooming nicely
spam	INHERITANCE NOTICE: You are the beneficiary of a foreign fortune. Contact us immediately.
ham	Yoga class was great today
spam	URGENT BUSINESS PROPOSAL: I am a prince seeking your assistance. Large reward awaits.
ham	Picked up the dry cleaning
spam	TECH SUPPORT ALERT: Your computer has sent us an error message. Call 1-800-MICROSOFT-NOW
ham	New recipe turned out delicious
spam	WORK AT HOME! Type simple emails and get paid $50/hour! No experience needed!
ham	Walking the dog in the park
spam	CONTEST WINNER! You've won a free vacation to Hawaii. Call to claim your prize!
ham	Library books are due Friday
spam	MEDICAL ALERT: New treatment available for your condition. Order now at fake-pharmacy.com
ham	Guitar lesson at 6pm
spam	URGENT: Your email account will be closed. Verify password at http://fake-email-login.com
ham	Grocery shopping after work
spam	GET RICH QUICK! Learn the secret the wealthy don't want you to know. Order now!
ham	Movie night at our place
spam	IRS NOTICE: You owe back taxes. Pay immediately to avoid arrest. Call 1-800-IRS-SCAM
ham	Plumber coming to fix the leak
spam	CONGRATULATIONS! You qualify for a low-interest loan. Bad credit welcome. Apply now!
ham	Need to call the electrician
spam	SECRET INVESTMENT: Multiply your money by 10x in just one month! Guaranteed returns!
ham	Dentist appointment at 2pm
spam	ALERT: Your social security number has been suspended. Call immediately to reactivate.
ham	Haircut scheduled for Saturday
spam	WINNER NOTIFICATION: You have won a Samsung Galaxy phone. Claim at http://fake-samsung.com
ham	Car wash this afternoon
spam	EMPLOYMENT OFFER: Be your own boss! Work flexible hours from home. Earn thousands weekly!
ham	Baking cookies for the neighbors
spam	URGENT HEALTH NOTICE: You may have been exposed to a serious condition. Click for details.
ham	Planting flowers in the garden
spam	LOTTERY NOTIFICATION: Your email has won £750,000 in the international lottery. Claim now!
ham	Reading before bed
spam	CREDIT CARD ALERT: Unusual activity detected. Verify at http://fake-credit-card.com
ham	Morning jog around the block
spam	BUSINESS OPPORTUNITY: Invest $500, earn $5000 monthly. Passive income guaranteed!
ham	Laundry day - lots to do
spam	PRIZE CLAIM: You are our lucky winner of the day! Call 1-800-WINNER to claim your prize!
ham	Watching the sunset
spam	URGENT: Your bank account has been compromised. Transfer funds to secure account immediately.
ham	Playing chess with the kids
spam	MIRACLE CURE: Eliminate all diseases with this one natural remedy. Order your copy now!
ham	Building a treehouse
spam	NOTICE OF GRANT: You have been approved for educational funding. Apply at fake-student-loans.com
ham	Fishing trip next weekend
spam	VERIFY NOW: Your account shows suspicious activity. Login at http://phishing-login.com to verify.
ham	Painting the living room
spam	CASH GIVEAWAY! We're giving away $10,000 to random people. You've been selected!
ham	Building a puzzle together
spam	URGENT MESSAGE FROM LAWYER: You are named in a will. Contact us immediately to claim inheritance.
ham	Stargazing tonight
spam	HEALTH INSURANCE: New plans available for $1/month. Sign up now at fake-insurance.com!
ham	Making homemade bread
spam	WINNER! You've won a free iPad. Click here to claim: http://fake-apple.com
ham	Teaching kids to ride bikes
spam	EMERGENCY FUND: You qualify for immediate financial assistance. Apply now, no questions asked!
ham	Building a snowman
spam	URGENT: Your package contains illegal items. Pay fine now to avoid prosecution.
ham	Making lemonade stand
spam	CONTEST ENTRY: You've been entered to win a new car! Confirm your entry at http://fake-contest.com
ham	Planting vegetable garden
spam	NOTICE: Your computer has been locked due to illegal activity. Pay fine to unlock.
ham	Feeding ducks at pond
spam	WINNER: You've been selected for a exclusive credit card with $50,000 limit. Apply now!
ham	Building sandcastle at beach
spam	URGENT HEALTH ALERT: New virus detected in your area. Order protection kit now!
ham	Flying kites in the park
spam	INHERITANCE: A distant relative has left you millions. Contact lawyer@fake-law.com to claim.
ham	Riding bicycles together
spam	MAKE MONEY ONLINE! Simple system earns $1000 daily. No work required!
ham	Having a picnic lunch
spam	URGENT: Your identity has been stolen. Verify your information at http://identity-theft-scam.com
ham	Playing frisbee in yard
spam	PRIZE NOTIFICATION: You've won a shopping spree! Call to schedule your $5000 shopping trip!
ham	Camping under the stars
spam	CONGRATULATIONS! You qualify for debt forgiveness. Call now to eliminate all your debts!
ham	Roasting marshmallows
spam	URGENT BUSINESS: I need your help transferring $10 million. You will receive 30% commission.
ham	Hiking mountain trails
spam	HEALTH WARNING: Tap water contaminated in your area. Order filtered water system now!
ham	Swimming in the lake
spam	LOTTERY: Your numbers 7-14-21-28-35-42 have won $2 million. Contact claims@lottery.com
ham	Canoeing down the river
spam	URGENT: Your social media account will be deleted. Verify at http://fake-social-login.com
ham	Rock climbing adventure
spam	WINNER ALERT: You've been randomly selected for a free vacation package. Call to claim!
ham	Skiing down the slopes
spam	INVESTMENT ALERT: Secret cryptocurrency will make you rich overnight. Invest now before it's too late!
ham	Ice skating on pond
spam	URGENT NOTICE: Your warranty is void. Call immediately to reinstate coverage.
ham	Sledding down hills
spam	PRIZE: You've won a new smartphone! Pay only $4.99 shipping. Order at http://fake-phone.com
ham	Building igloo together
spam	EMPLOYMENT: Data entry workers needed! Earn $25/hour working from home. Apply now!
ham	Making snow angels
spam	URGENT: Your computer is sending errors. Call tech support: 1-800-FAKE-SUPPORT
ham	Drinking hot chocolate
spam	CONGRATULATIONS! You've won a gift card worth $1000. Claim at http://gift-card-scam.com
ham	Reading by the fireplace
spam	HEALTH ALERT: New study shows this vitamin prevents all diseases. Order now!
ham	Writing in journals
spam	URGENT: Your account shows unusual activity. Verify password at http://password-phishing.com
ham	Drawing pictures together
spam	MAKE $5000 WEEKLY! stuffing envelopes at home. No experience needed!
ham	Playing board games
spam	NOTICE: Your package could not be delivered. Pay customs fee at http://fake-customs.com
ham	Singing songs together
spam	WINNER: You've been selected for a exclusive loan offer. 1% APR guaranteed!
ham	Telling stories
spam	URGENT: Your email quota is exceeded. Upgrade at http://fake-email-upgrade.com
ham	Watching clouds
spam	INHERITANCE NOTICE: You are the sole beneficiary of a $10 million estate. Contact us immediately.
ham	Counting stars
spam	CASH PRIZE: You've won $25,000 in our annual drawing. Claim your prize now!
ham	Chasing fireflies
spam	URGENT HEALTH NOTICE: You may qualify for free health insurance. Apply now at fake-healthcare.gov
ham	Blowing bubbles
spam	BUSINESS PROPOSAL: I am a foreign dignitary seeking your assistance. Large reward for your help.
ham	Catching lightning bugs
spam	VERIFY ACCOUNT: Your account will be closed unless you verify at http://account-phishing.com
ham	Watching rainbows
spam	PRIZE ALERT: You've won a luxury watch worth $5000. Claim at http://fake-rolex.com
ham	Jumping in puddles
spam	URGENT: Your computer has been infected with a virus. Download our antivirus now!
ham	Making mud pies
spam	CONGRATULATIONS! You qualify for a government stimulus check of $5000. Apply now!
ham	Climbing trees
spam	LOTTERY WINNER: Your ticket has won £1 million. Contact lottery@scam.com to claim.
ham	Swinging on swings
spam	URGENT NOTICE: Your bank account is frozen. Call 1-800-BANK-SCAM to unfreeze.
ham	Sliding down slide
spam	INVESTMENT: Double your Bitcoin in 24 hours guaranteed! No risk!
ham	Riding merry-go-round
spam	HEALTH: Doctors hate this one weird trick for weight loss. Order your guide now!
ham	Going down zip line
spam	WINNER NOTIFICATION: You've won a new car! Pay only taxes and fees. Call now!
ham	Bouncing on trampoline
spam	URGENT: Your identity has been compromised. Verify at http://identity-phishing.com immediately.
ham	Playing hopscotch
spam	PRIZE: You've been selected for a exclusive shopping spree. $10,000 waiting for you!
ham	Skipping rope
spam	EMPLOYMENT OFFER: Work 2 hours daily from home. Earn $5000 monthly. No experience!
ham	Juggling balls
spam	URGENT: Your subscription is expiring. Renew at http://fake-subscription.com to continue service.
ham	Doing cartwheels
spam	CONGRATULATIONS! You've won a free tablet. Pay only shipping. Order at http://fake-tablet.com
ham	Standing on head
spam	CASH GIVEAWAY: We're giving away money! You've been selected to receive $1000. Claim now!
ham	Walking on hands
spam	URGENT HEALTH: New treatment eliminates all pain. Order your free sample now!
ham	Doing handstands
spam	NOTICE: Your computer is sending spam. Call tech support immediately: 1-800-TECH-SCAM
ham	Tumbling around
spam	INHERITANCE: A wealthy stranger has left you money. Contact lawyer@scam.com to claim.
ham	Rolling on grass
spam	LOTTERY: Congratulations! Your email has won $750,000. Send your details to claim.
ham	Playing tag
spam	URGENT: Your account will be suspended. Verify at http://account-scam.com within 24 hours.
ham	Hiding and seeking
spam	WINNER: You've been randomly selected for a free vacation. Call 1-800-VACATION to claim!
ham	Playing catch
spam	INVESTMENT OPPORTUNITY: Earn 500% returns in one week! Limited spots available!
ham	Flying paper airplanes
spam	URGENT: Your package is held at customs. Pay fees at http://customs-scam.com to release.
ham	Making paper boats
spam	HEALTH ALERT: Contaminated water in your area. Order purification system now!
ham	Sailing toy boats
spam	PRIZE NOTIFICATION: You've won a smartphone! Click here to claim: http://phone-scam.com
ham	Playing with blocks
spam	URGENT: Your computer has critical errors. Call 1-800-WINDOWS-SCAM for immediate help.
ham	Building towers
spam	CONGRATULATIONS! You qualify for debt relief. Eliminate all debts now!
ham	Knocking down towers
spam	BUSINESS: I need your help to transfer funds. You will receive 25% commission. Contact me.
ham	Stacking cups
spam	URGENT: Your social security is suspended. Call 1-800-SSA-SCAM immediately.
ham	Playing with trains
spam	WINNER ALERT: You've won a laptop computer! Pay only shipping. Order now!
ham	Pushing cars around
spam	EMPLOYMENT: Mystery shoppers wanted! Earn $200 per assignment. Apply today!
ham	Watching planes
spam	URGENT HEALTH: You may have been exposed. Order testing kit at http://fake-testing.com
ham	Counting cars
spam	LOTTERY WINNER: Your numbers have been drawn. Contact claims@lottery-scam.com with your details.
ham	Pointing at clouds
spam	URGENT: Your bank is closing your account. Transfer funds to secure account immediately.
ham	Naming shapes
spam	INVESTMENT: Secret stock will skyrocket 1000% tomorrow. Buy now before it's too late!
ham	Singing alphabet song
spam	PRIZE: You've won a gift basket worth $2500. Call to claim your prize!
ham	Reciting numbers
spam	URGENT: Your email has been hacked. Verify at http://email-phishing.com to secure.
ham	Learning colors
spam	MAKE MONEY FAST! Simple system earns $10,000 weekly. Order your guide now!
ham	Identifying animals
spam	NOTICE: Your warranty has expired. Call immediately to extend coverage.
ham	Making animal sounds
spam	WINNER: You've been selected for a exclusive credit card. $100,000 limit! Apply now!
ham	Pretending to be animals
spam	URGENT: Your computer is infected with malware. Download our tool at http://malware-scam.com
ham	Playing farm
spam	CONGRATULATIONS! You qualify for free solar panels. Sign up now!
ham	Playing house
spam	HEALTH: Miracle supplement reverses aging. Order your free bottle now!
ham	Playing school
spam	URGENT: Your account shows suspicious login. Verify at http://login-scam.com immediately.
ham	Playing store
spam	INHERITANCE NOTICE: You are named in a will. Contact us to claim your inheritance.
ham	Playing restaurant
spam	CASH PRIZE: You've won $50,000 in our lottery. Send your details to claim!
ham	Playing doctor
spam	URGENT: Your identity is compromised. Verify at http://identity-scam.com now!
ham	Playing firefighter
spam	LOTTERY: Your email has won €500,000. Contact lottery@euro-scam.com to claim.
ham	Playing police officer
spam	WINNER NOTIFICATION: You've won a new TV! Pay only shipping. Order at http://tv-scam.com
ham	Playing superhero
spam	URGENT: Your subscription has expired. Renew at http://subscription-scam.com to continue.
ham	Flying like Superman
spam	INVESTMENT: Cryptocurrency will make you rich. Invest $100, earn $10,000!
ham	Pretending to fly
spam	URGENT HEALTH: New virus in your area. Order protection at http://virus-scam.com now!
ham	Being a princess
spam	PRIZE ALERT: You've won a diamond ring! Call to claim your prize!
ham	Being a prince
spam	EMPLOYMENT: Work from home! Earn $500 daily stuffing envelopes. No experience!
ham	Wearing costumes
spam	URGENT: Your package delivery failed. Reschedule at http://delivery-scam.com
ham	Playing dress-up
spam	CONGRATULATIONS! You've won a shopping spree! $25,000 waiting for you!
ham	Putting on hats
spam	BUSINESS PROPOSAL: Help me transfer $5 million. You receive 30%. Contact me urgently.
ham	Wearing masks
spam	URGENT: Your computer is sending viruses. Call tech support: 1-800-VIRUS-SCAM
ham	Pretending to sleep
spam	WINNER: You've been selected for a free iPhone. Pay only taxes. Order now!
ham	Snoring loudly
spam	HEALTH ALERT: Tap water is dangerous. Order filtered system at http://water-scam.com
ham	Pretending to snore
spam	URGENT: Your account will be terminated. Verify at http://terminate-scam.com now!
ham	Dreaming aloud
spam	INHERITANCE: A rich widow has left you money. Contact lawyer@widow-scam.com
ham	Telling dreams
spam	LOTTERY WINNER: Congratulations! You've won $1 million. Send bank details to claim.
ham	Sharing nightmares
spam	URGENT: Your bank account is compromised. Transfer to secure account immediately.
ham	Making wish on star
spam	INVESTMENT: Double your money in 48 hours! Guaranteed! No risk involved!
ham	Blowing out candles
spam	PRIZE: You've won a vacation package! Call 1-800-TRIP-SCAM to claim!
ham	Cutting birthday cake
spam	URGENT: Your email is full. Upgrade at http://email-upgrade-scam.com to continue.
ham	Opening presents
spam	MAKE MONEY! Simple trick earns $15,000 monthly. Order secret guide now!
ham	Wrapping gifts
spam	NOTICE: Your computer warranty expires today. Call to renew immediately.
ham	Making cards
spam	WINNER ALERT: You've been chosen for a exclusive loan. Bad credit OK!
ham	Drawing pictures
spam	URGENT: Your identity is stolen. Verify at http://identity-scam.com now!
ham	Coloring books
spam	CASH: You've won $100,000! Claim at http://cash-scam.com with your details.
ham	Painting pictures
spam	URGENT HEALTH: You qualify for free medication. Order at http://meds-scam.com now!
ham	Making crafts
spam	LOTTERY: Your numbers won £2 million. Contact claims@uk-lottery-scam.com
ham	Glueing things
spam	WINNER: You've won a new camera! Pay only shipping. Order at http://camera-scam.com
ham	Cutting paper
spam	EMPLOYMENT: Online survey takers needed! Earn $100 per survey. Apply now!
ham	Taping things
spam	URGENT: Your package is seized by customs. Pay fine at http://customs-fine-scam.com
ham	Folding origami
spam	CONGRATULATIONS! You qualify for government grant. $50,000 free money!
ham	Making paper planes
spam	BUSINESS: I am a prince needing your help. $10 million reward for your assistance.
ham	Creating art
spam	URGENT: Your social media is hacked. Verify at http://social-hack-scam.com now!
ham	Sculpting clay
spam	INHERITANCE NOTICE: You inherit $25 million from unknown relative. Contact us!
ham	Making pottery
spam	CASH PRIZE: You've won our daily drawing! $5,000 waiting for you!
ham	Playing with clay
spam	URGENT: Your computer has spyware. Download removal tool at http://spyware-scam.com
ham	Squishing dough
spam	WINNER NOTIFICATION: You've won a tablet! Click to claim: http://tablet-scam.com
ham	Kneading bread
spam	URGENT: Your account is locked. Call 1-800-ACCOUNT-SCAM to unlock.
ham	Rolling dough
spam	INVESTMENT: Secret fund earns 1000% annually. Limited investors accepted!
ham	Stretching dough
spam	HEALTH: Doctors discover miracle cure. Order your supply before it's banned!
ham	Poking dough
spam	URGENT: Your email will be deleted. Backup at http://email-backup-scam.com now!
ham	Squishing play-doh
spam	PRIZE: You've won a jewelry set! Worth $10,000. Call to claim!
ham	Making snakes
spam	EMPLOYMENT: Chat moderators wanted! Work from home. $30/hour!
ham	Rolling worms
spam	URGENT: Your subscription ends today. Renew at http://renew-scam.com to continue.
ham	Cutting shapes
spam	CONGRATULATIONS! You've won a free cruise! Call to claim your tickets!
ham	Making animals
spam	BUSINESS OPPORTUNITY: Invest $1000, earn $10,000 monthly. Passive income!
ham	Building zoo
spam	URGENT: Your computer is at risk. Install antivirus at http://antivirus-scam.com
ham	Arranging farm
spam	WINNER: You've been selected for a scholarship. $50,000 for your education!
ham	Setting up tea party
spam	HEALTH ALERT: New superfood discovered. Order your supply now before sold out!
ham	Pouring pretend tea
spam	URGENT: Your identity verification required. Verify at http://verify-identity-scam.com
ham	Serving cookies
spam	INHERITANCE: You are beneficiary of foreign fortune. Contact us to claim millions.
ham	Pretending to drink
spam	LOTTERY WINNER: Your email won $5 million. Send your details to lottery@scam.net
ham	Eating air
spam	URGENT: Your bank is merging accounts. Transfer funds to new secure account now.
ham	Pretending full
spam	INVESTMENT ALERT: New cryptocurrency launching. Invest now, become millionaire!
ham	Burping loudly
spam	PRIZE ALERT: You've won a smart TV! Pay only delivery. Order at http://tv-prize-scam.com
ham	Making funny sounds
spam	URGENT: Your package contains contraband. Pay fine immediately to avoid arrest.
ham	Laughing at jokes
spam	CONGRATULATIONS! You qualify for loan forgiveness. All debts eliminated!
ham	Telling funny stories
spam	BUSINESS: Help me move $20 million. You keep 40% as commission. Urgent response needed.
ham	Making faces
spam	URGENT: Your computer is broadcasting spam. Call 1-800-BROADCAST-SCAM now.
ham	Crossing eyes
spam	WINNER NOTIFICATION: You've won a gaming console! Order at http://gaming-scam.com
ham	Sticking out tongue
spam	EMPLOYMENT: Product testers needed! Keep all products you test. Apply today!
ham	Wiggling ears
spam	URGENT HEALTH: Contaminated food alert in your area. Order organic supplies now!
ham	Moving nose
spam	LOTTERY: International lottery winner! Your email selected for €10 million!
ham	Raising eyebrows
spam	URGENT: Your account shows fraud. Verify at http://fraud-verify-scam.com immediately.
ham	Blinking fast
spam	INHERITANCE NOTICE: Distant relative's estate worth $50 million. You are heir.
ham	Winking
spam	CASH GIVEAWAY: Random citizen selected for $100,000 grant. You are the winner!
ham	Nodding yes
spam	URGENT: Your email account is full. Delete messages or upgrade at http://upgrade-scam.com
ham	Shaking no
spam	MAKE MONEY: Simple online system earns $20,000 weekly. Order video course now!
ham	Spinning around
spam	NOTICE: Your warranty claim denied. Appeal at http://warranty-appeal-scam.com now.
ham	Jumping up down
spam	WINNER: Exclusive credit card offer! $250,000 limit. 0% interest for life!
ham	Dancing wildly
spam	URGENT: Your computer has trojan. Remove at http://trojan-removal-scam.com now!
ham	Singing loudly
spam	PRIZE: You've won a home theater system! Call to arrange delivery!
ham	Humming tunes
spam	URGENT: Your identity is flagged. Verify at http://identity-flag-scam.com now!
ham	Whistling
spam	INVESTMENT: Gold prices skyrocketing tomorrow. Buy now before price increase!
ham	Beatboxing
spam	HEALTH: Miracle weight loss pill. Lose 50 pounds in one week! Order now!
ham	Making music
spam	URGENT: Your subscription payment failed. Update at http://payment-scam.com now.
ham	Playing air guitar
spam	CONGRATULATIONS! You've won a luxury watch! Worth $25,000. Claim now!
ham	Playing air drums
spam	BUSINESS PROPOSAL: Assist with fund transfer. $15 million. You receive 35%.
ham	Conducting orchestra
spam	URGENT: Your package is held by FBI. Pay fine at http://fbi-fine-scam.com now.
ham	Pretending piano
spam	WINNER ALERT: You've been selected for free college tuition! $200,000 value!
ham	Miming guitar
spam	EMPLOYMENT: Email processors needed! $40/hour working from home. Apply now!
ham	Faking violin
spam	URGENT HEALTH: Water contamination detected. Order filters at http://filter-scam.com
ham	Playing trumpet
spam	LOTTERY WINNER: Powerball winner! Your ticket worth $50 million. Contact us!
ham	Pretending flute
spam	URGENT: Your bank account flagged for money laundering. Call to resolve immediately.
ham	Drumming table
spam	INHERITANCE: You inherit diamond mine from African prince. Contact to claim!
ham	Tapping rhythm
spam	CASH PRIZE: Daily winner selected! You won $75,000! Claim at cash-prize@scam.com
ham	Clapping hands
spam	URGENT: Your computer is mining cryptocurrency illegally. Call tech support now!
ham	Snapping fingers
spam	WINNER: You've won a motorcycle! Pay only registration. Order at http://bike-scam.com
ham	Popping knuckles
spam	URGENT: Your account will be charged. Cancel at http://cancel-charge-scam.com now.
ham	Cracking neck
spam	INVESTMENT: Pre-IPO shares available. Invest now, 1000x returns guaranteed!
ham	Stretching arms
spam	HEALTH ALERT: Common medication causes death. Order alternative at http://alt-meds-scam.com
ham	Yawning
spam	URGENT: Your email is being shut down. Save messages at http://save-email-scam.com
ham	Sighing
spam	PRIZE NOTIFICATION: You've won a spa vacation! All expenses paid! Call to claim!
ham	Groaning
spam	BUSINESS: Foreign businessman needs your help. $30 million transfer. 50% for you.
ham	Coughing
spam	URGENT: Your computer has ransomware. Pay at http://ransomware-scam.com to unlock.
ham	Sneezing
spam	WINNER NOTIFICATION: Lucky day winner! You've won $500,000! Claim immediately!
ham	Sniffling
spam	EMPLOYMENT: Forum posters wanted! Get paid to post. $25 per post!
ham	Hiccuping
spam	URGENT: Your package delivery requires signature. Schedule at http://signature-scam.com
ham	Burping
spam	CONGRATULATIONS! You qualify for stimulus check. $10,000 direct deposit!
ham	Gargling
spam	URGENT: Your identity is being sold. Stop at http://stop-identity-scam.com now.
ham	Spitting
spam	INHERITANCE NOTICE: Swiss bank account with $100 million. You are beneficiary.
ham	Blowing nose
spam	LOTTERY: EuroMillions winner! Your numbers selected for €75 million!
ham	Wiping nose
spam	URGENT: Your account is under investigation. Cooperate at http://investigate-scam.com
ham	Rubbing eyes
spam	CASH: Government unclaimed funds! You have $25,000 waiting. Claim now!
ham	Covering face
spam	URGENT HEALTH: Pandemic alert! Order vaccine at http://fake-vaccine-scam.com now.
ham	Hiding face
spam	INVESTMENT: Oil discovery! Invest in new well. 500% returns in 30 days!
ham	Peeking fingers
spam	WINNER: You've won a boat! Luxury yacht worth $500,000. Claim your prize!
ham	Making tent
spam	URGENT: Your subscription auto-renewing. Cancel at http://auto-renew-scam.com
ham	Under blanket
spam	PRIZE: Home makeover worth $100,000! Call to schedule your renovation!
ham	In fort
spam	BUSINESS OPPORTUNITY: Franchise opportunity. Earn $1 million first year!
ham	In castle
spam	URGENT: Your computer is part of botnet. Clean at http://botnet-clean-scam.com
ham	In spaceship
spam	WINNER ALERT: You've been selected for reality TV show! $1 million prize!
ham	On moon
spam	EMPLOYMENT: Voice actors needed! Work from home. $500 per commercial!
ham	On Mars
spam	URGENT: Your package contains drugs. Pay fine at http://drug-fine-scam.com now.
ham	In ocean
spam	CONGRATULATIONS! You've won a private jet! Call to arrange delivery!
ham	Under water
spam	URGENT: Your identity is wanted by FBI. Surrender at http://fbi-surrender-scam.com
ham	In jungle
spam	INHERITANCE: Arab sheikh left you oil fields. Worth billions. Contact to claim.
ham	In desert
spam	CASH PRIZE: You've won publisher's clearing house! $10 million! Claim now!
ham	In space
spam	URGENT: Your email is evidence in crime. Preserve at http://evidence-scam.com now.
ham	On cloud
spam	MAKE MONEY: Turn $100 into $10,000 in one week! Secret system revealed!
ham	In rainbow
spam	NOTICE: Your computer is obsolete. Upgrade at http://upgrade-pc-scam.com now.
ham	In sun
spam	WINNER: Exclusive membership! Access to millionaires club. Join now!
ham	In star
spam	URGENT: Your account has negative balance. Deposit immediately to avoid fees.
ham	In galaxy
spam	INVESTMENT: Art investment opportunity. 2000% returns guaranteed!
ham	In universe
spam	HEALTH: Anti-aging breakthrough. Look 30 years younger in 30 days!
ham	In dimension
spam	URGENT: Your subscription is illegal. Renew legally at http://legal-sub-scam.com
ham	In time
spam	PRIZE: You've won a island! Private tropical island. Claim your deed!
ham	In past
spam	BUSINESS: Assist with gold shipment. $100 million. You receive half.
ham	In future
spam	URGENT: Your computer is hacking NASA. Call 1-800-NASA-SCAM to stop.
ham	In dream
spam	WINNER NOTIFICATION: You've won a helicopter! Pilot training included!
ham	In nightmare
spam	EMPLOYMENT: Professional sleepers needed! Get paid to sleep! $1000 per night!
ham	In fantasy
spam	URGENT HEALTH: Radiation leak in your area. Order protection suits now!
ham	In magic
spam	LOTTERY: Mega Millions winner! Your ticket worth $200 million!
ham	In wonderland
spam	URGENT: Your bank is being audited. Transfer funds to safe account now.
ham	In oz
spam	INHERITANCE: Pirate treasure found! You are descendant. Claim your share!
ham	In narnia
spam	CASH: Unclaimed lottery winnings! You won $1 million last year! Claim now!
ham	In middle earth
spam	URGENT: Your email contains illegal content. Delete at http://delete-illegal-scam.com
ham	In hogwarts
spam	PRIZE: You've won a car! Luxury sedan worth $75,000. Claim your keys!
ham	In Hogwarts
spam	URGENT: Your identity is cloned. Stop clone at http://clone-identity-scam.com
ham	Doing magic
spam	INVESTMENT: Diamond mine investment. 300% returns in 60 days!
ham	Casting spells
spam	HEALTH ALERT: Electromagnetic radiation deadly. Order protection device now!
ham	Waving wand
spam	URGENT: Your account is being closed. Save data at http://save-data-scam.com
ham	Potion making
spam	WINNER: You've won a plane! Private jet worth $50 million!
ham	Flying broom
spam	BUSINESS: Gold smuggling operation. Need your help. 60% profit share.
ham	Talking animals
spam	URGENT: Your package is from future. Pay temporal tax at http://temporal-scam.com
ham	Invisible cloak
spam	CONGRATULATIONS! You've won a mansion! Luxury estate worth $10 million!
ham	Time turner
spam	URGENT: Your subscription is criminal. Cancel at http://criminal-sub-scam.com
ham	Marauder map
spam	PRIZE: You've won a racehorse! Champion thoroughbred worth $1 million!
ham	Sorting hat
spam	EMPLOYMENT: Data typists needed! $75/hour! Work whenever you want!
ham	Phoenix feather
spam	URGENT: Your computer is spying on you. Fix at http://spy-fix-scam.com now.
ham	Dragon egg
spam	WINNER ALERT: You've won a submarine! Military grade. Claim your vessel!
ham	Horcrux
spam	URGENT: Your identity is in witness protection. Exit at http://witness-scam.com
ham	Elder wand
spam	INHERITANCE: Royal family inheritance. You are heir to throne. Claim now!
ham	Resurrection stone
spam	CASH PRIZE: You've won a game show! $5 million prize! Claim your winnings!
ham	Invisibility cloak
